Destination Plate,Well,Destination Barcode,Antibody Clone Name,Source Plate,Source Barcode,SourceWell,Volume Transfer,Volume Diluent
Dest_02,A9,,Sample161,Source_02,,D2,100,50
Dest_02,B9,,Sample162,Source_02,,C3,100,50
Dest_02,C9,,Sample163,Source_02,,D3,100,50
Dest_02,D9,,Sample164,Source_02,,A4,100,50
Dest_02,E9,,Sample165,Source_02,,B4,100,50
Dest_02,F9,,Sample166,Source_02,,D4,100,50
Dest_02,G9,,Sample167,Source_02,,E4,100,50
Dest_02,H9,,Sample168,Source_02,,A5,100,50
Dest_02,A10,,Sample169,Source_02,,E5,100,50
Dest_02,B10,,Sample170,Source_02,,F5,100,50
Dest_02,C10,,Sample171,Source_02,,G5,100,50
Dest_02,D10,,Sample172,Source_02,,A6,100,50
Dest_02,E10,,Sample173,Source_02,,E6,100,50
Dest_02,F10,,Sample174,Source_02,,B7,100,50
Dest_02,G10,,Sample175,Source_02,,D8,100,50
Dest_02,H10,,Sample176,Source_02,,H8,100,50
Dest_02,A11,,Sample177,Source_02,,C9,100,50
Dest_02,B11,,Sample178,Source_02,,A11,100,50
Dest_02,C11,,Sample179,Source_02,,C11,100,50
Dest_02,D11,,Sample180,Source_02,,E11,100,50
Dest_02,E11,,Sample181,Source_02,,G11,100,50
Dest_02,F11,,Sample182,Source_02,,A1,100,50
Dest_02,G11,,Sample183,Source_02,,B1,100,50
Dest_02,H11,,Sample184,Source_02,,C1,100,50
Dest_02,A12,,Sample185,Source_02,,D1,100,50
Dest_02,B12,,Sample186,Source_02,,E1,100,50
Dest_02,C12,,Sample187,Source_02,,G1,100,50
Dest_02,D12,,Sample188,Source_02,,E3,100,50
Dest_02,E12,,Sample189,Source_02,,H3,100,50
Dest_02,F12,,Sample190,Source_02,,B4,100,50
Dest_02,G12,,Sample191,Source_02,,F5,100,50
Dest_02,H12,,Sample192,Source_02,,A6,100,50
Dest_03,A1,,Sample193,Source_02,,C6,100,50
Dest_03,B1,,Sample194,Source_02,,C7,100,50
Dest_03,C1,,Sample195,Source_02,,D7,100,50
Dest_03,D1,,Sample196,Source_02,,F7,100,50
Dest_03,E1,,Sample197,Source_02,,H7,100,50
Dest_03,F1,,Sample198,Source_02,,A8,100,50
Dest_03,G1,,Sample199,Source_02,,F8,100,50
Dest_03,H1,,Sample200,Source_02,,H9,100,50
Dest_03,A2,,Sample201,Source_02,,A10,100,50
Dest_03,B2,,Sample202,Source_02,,B10,100,50
Dest_03,C2,,Sample203,Source_02,,E10,100,50
Dest_03,D2,,Sample204,Source_02,,G10,100,50
Dest_03,E2,,Sample205,Source_02,,H10,100,50
Dest_03,F2,,Sample206,Source_02,,A11,100,50
Dest_03,G2,,Sample207,Source_02,,C11,100,50
Dest_03,H2,,Sample208,Source_02,,E11,100,50
Dest_03,A3,,Sample209,Source_02,,H11,100,50
Dest_03,B3,,Sample210,Source_02,,B12,100,50
Dest_03,C3,,Sample211,Source_02,,C12,100,50
Dest_03,D3,,Sample212,Source_02,,G12,100,50
Dest_03,E3,,Sample213,Source_02,,A1,100,50
Dest_03,F3,,Sample214,Source_02,,B1,100,50
Dest_03,G3,,Sample215,Source_02,,H1,100,50
Dest_03,H3,,Sample216,Source_02,,A2,100,50
Dest_03,A4,,Sample217,Source_02,,E2,100,50
Dest_03,B4,,Sample218,Source_02,,F2,100,50
Dest_03,C4,,Sample219,Source_02,,G2,100,50
Dest_03,D4,,Sample220,Source_02,,H2,100,50
Dest_03,E4,,Sample221,Source_02,,A3,100,50
Dest_03,F4,,Sample222,Source_02,,B3,100,50
Dest_03,G4,,Sample223,Source_02,,C3,100,50
Dest_03,H4,,Sample224,Source_02,,E3,100,50
Dest_03,A5,,Sample225,Source_02,,F3,100,50
Dest_03,B5,,Sample226,Source_02,,G3,100,50
Dest_03,C5,,Sample227,Source_02,,A4,100,50
Dest_03,D5,,Sample228,Source_02,,B4,100,50
Dest_03,E5,,Sample229,Source_02,,D4,100,50
Dest_03,F5,,Sample230,Source_02,,H4,100,50
Dest_03,G5,,Sample231,Source_02,,G5,100,50
Dest_03,H5,,Sample232,Source_02,,A6,100,50
Dest_03,A6,,Sample233,Source_02,,G6,100,50
Dest_03,B6,,Sample234,Source_02,,A7,100,50
Dest_03,C6,,Sample235,Source_02,,B7,100,50
Dest_03,D6,,Sample236,Source_02,,D7,100,50
Dest_03,E6,,Sample237,Source_02,,G7,100,50
Dest_03,F6,,Sample238,Source_02,,A8,100,50
Dest_03,G6,,Sample239,Source_02,,D8,100,50
Dest_03,H6,,Sample240,Source_02,,E8,100,50
Dest_03,A7,,Sample241,Source_02,,C9,100,50
Dest_03,B7,,Sample242,Source_02,,G9,100,50
Dest_03,C7,,Sample243,Source_02,,E10,100,50
Dest_03,D7,,Sample244,Source_02,,E11,100,50
Dest_03,E7,,Sample245,Source_02,,C12,100,50
Dest_03,F7,,Sample246,Source_02,,D12,100,50
Dest_03,G7,,Sample247,Source_02,,E12,100,50
Dest_03,H7,,Sample248,Source_02,,G12,100,50
Dest_03,A8,,Sample249,Source_02,,E2,100,50
Dest_03,B8,,Sample250,Source_02,,G3,100,50
Dest_03,C8,,Sample251,Source_02,,D12,100,50
Dest_03,D8,,Sample252,Source_02,,D1,100,50
